/Users/alexmann/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Processing Nashville Predators at Washington Capitals, ID: d48223d79cf677c9fd1c0d1a4663385d
Processing Detroit Red Wings at Chicago Blackhawks, ID: bbbdad8ca7da439e69cf021aeed1ad5e
Processing Vegas Golden Knights at Edmonton Oilers, ID: ec2dfed84bb75c82b42727eb673202c2
Player: Zach Hyman
  Bookmaker: FanDuel, Over/Under: Under, Price: 1.64, Points: 3.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
Player: Leon Draisaitl
  Bookmaker: BetRivers, Over/Under: Over, Price: 1.77, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetRivers, Over/Under: Under, Price: 2.0, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Over, Price: 1.65, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Under, Price: 2.2, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Over, Price: 1.64, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Under, Price: 2.2, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Over, Price: 1.62, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Under, Price: 2.15, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Over, Price: 1.64, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Under, Price: 2.2, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
Player: Evan Bouchard
  Bookmaker: BetRivers, Over/Under: Over, Price: 1.67, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetRivers, Over/Under: Under, Price: 2.15, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Over, Price: 2.4, Points: 3.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Under, Price: 1.55, Points: 3.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Under, Price: 1.53, Points: 3.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Over, Price: 2.44, Points: 3.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Over, Price: 2.35, Points: 3.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Under, Price: 1.54, Points: 3.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Over, Price: 1.59, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Under, Price: 2.3, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
Player: Ryan Nugent-Hopkins
  Bookmaker: BetRivers, Over/Under: Over, Price: 2.5, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetRivers, Over/Under: Under, Price: 1.5, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Over, Price: 2.4, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Under, Price: 1.55, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Over, Price: 2.41, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Under, Price: 1.54, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Over, Price: 2.3, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Under, Price: 1.54, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Over, Price: 2.42, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Under, Price: 1.53, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
Player: Shea Theodore
  Bookmaker: BetRivers, Over/Under: Over, Price: 2.5, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetRivers, Over/Under: Under, Price: 1.5, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Over, Price: 1.57, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Under, Price: 2.35, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Under, Price: 2.35, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Over, Price: 1.57, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Over, Price: 2.5, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Under, Price: 1.51, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
Player: Mark Stone
  Bookmaker: BetRivers, Over/Under: Over, Price: 1.54, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetRivers, Over/Under: Under, Price: 2.4, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Over, Price: 1.53, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Under, Price: 2.45, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Under, Price: 2.5, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Over, Price: 1.51, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Over, Price: 1.5, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Under, Price: 2.4, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Over, Price: 1.48, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Under, Price: 2.58, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
Player: Alex Pietrangelo
  Bookmaker: BetRivers, Over/Under: Over, Price: 1.7, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetRivers, Over/Under: Under, Price: 2.1, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Over, Price: 1.77, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Under, Price: 2.0, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Under, Price: 2.04, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Over, Price: 1.74, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Over, Price: 1.74, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Under, Price: 2.0, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Over, Price: 1.71, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Under, Price: 2.08, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
Player: Tomas Hertl
  Bookmaker: BetRivers, Over/Under: Over, Price: 1.7, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetRivers, Over/Under: Under, Price: 2.1, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Over, Price: 1.77, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Under, Price: 2.0, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Under, Price: 2.0, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
