id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly
9353,Adam Fox,2024-12-02,Over,1.5,0.5847953216374269,0.5769535376662851,0.5247715638259203,0.576271186440678,0.5587301587301587,-0.03614106544284379
9354,Adam Fox,2024-12-02,Under,1.5,0.47619047619047616,0.42304646233371485,0.4752284361740797,0.423728813559322,0.44126984126984126,-0.0004591554623710331
9355,Alexis Lafrenière,2024-12-02,Over,2.5,0.4273504273504274,0.44381783695677934,0.4014189094502445,0.3924731182795699,0.437125748502994,-0.01132084923254252
9356,Alexis Lafrenière,2024-12-02,Under,2.5,0.6172839506172839,0.5561821630432207,0.5985810905497555,0.6075268817204301,0.562874251497006,-0.012217190850562915
9357,Artemi Panarin,2024-12-02,Over,3.5,0.47619047619047616,0.45795681776691455,0.4173526846790838,0.3850267379679144,0.417910447761194,-0.02808167322134636
9358,Artemi Panarin,2024-12-02,Under,3.5,0.5747126436781609,0.5420431822330855,0.5826473153209162,0.6149732620320856,0.582089552238806,0.004664300222430445
9359,Chris Kreider,2024-12-02,Over,2.5,0.4854368932038835,0.5965961378433838,0.5556825241552207,0.5082872928176796,0.5046439628482973,0.03412877352824402
9360,Chris Kreider,2024-12-02,Under,2.5,0.5649717514124294,0.40340386215661617,0.4443174758447793,0.49171270718232046,0.4953560371517028,-0.06933703498530538
9361,Dougie Hamilton,2024-12-02,Over,2.5,0.6060606060606061,0.6616597713089889,0.6324954496545245,0.6124031007751938,0.6053811659192825,0.016775958434602084
9362,Dougie Hamilton,2024-12-02,Under,2.5,0.4504504504504504,0.33834022869101105,0.3675045503454754,0.3875968992248062,0.39461883408071746,-0.03773358570349271
9363,Filip Chytil,2024-12-02,Over,1.5,0.6535947712418301,0.731951613261197,0.6795436951183593,0.69,0.6604938271604939,0.01872728940145746
9364,Filip Chytil,2024-12-02,Under,1.5,0.4065040650406504,0.2680483867388031,0.3204563048816407,0.31,0.3395061728395062,-0.036246145546432185
9365,Jack Hughes,2024-12-02,Over,3.5,0.5882352941176471,0.5804043511046078,0.5697470864010754,0.5688622754491018,0.5247524752475248,-0.011224983256489934
9366,Jack Hughes,2024-12-02,Under,3.5,0.4716981132075471,0.41959564889539225,0.43025291359892465,0.4311377245508982,0.4752475247524752,-0.01961246052908029
9367,Jesper Bratt,2024-12-02,Over,2.5,0.6172839506172839,0.5733095798573141,0.5397004220008305,0.4869109947643979,0.5072046109510087,-0.0506795630478446
9368,Jesper Bratt,2024-12-02,Under,2.5,0.4424778761061947,0.4266904201426859,0.46029957799916954,0.5130890052356021,0.49279538904899134,0.007991477436135527
9369,Luke Hughes,2024-12-02,Over,1.5,0.5649717514124294,0.5430366607788809,0.4897463162319545,0.46078431372549017,0.4791666666666667,-0.04323020138618197
9370,Luke Hughes,2024-12-02,Under,1.5,0.48780487804878053,0.4569633392211191,0.5102536837680455,0.5392156862745098,0.5208333333333334,0.010957155172498373
9371,Mika Zibanejad,2024-12-02,Over,2.5,0.45454545454545453,0.5229878819963554,0.4817211912070658,0.5483870967741935,0.5015015015015015,0.012455545969905168
9372,Mika Zibanejad,2024-12-02,Under,2.5,0.5882352941176471,0.47701211800364457,0.5182788087929342,0.45161290322580644,0.4984984984984985,-0.04247358037571852
9373,Nico Hischier,2024-12-02,Over,2.5,0.6060606060606061,0.5693451766746078,0.533337382626982,0.547486033519553,0.5370370370370371,-0.04615127640979988
9374,Nico Hischier,2024-12-02,Under,2.5,0.4424778761061947,0.4306548233253922,0.46666261737301795,0.45251396648044695,0.46296296296296297,0.01084474509186914
9375,Stefan Noesen,2024-12-02,Over,2.5,0.425531914893617,0.27972681521676757,0.2222645124274193,0.24193548387096775,0.24633431085043989,-0.0884589621843638
9376,Stefan Noesen,2024-12-02,Under,2.5,0.6211180124223602,0.7202731847832324,0.7777354875725807,0.7580645161290323,0.7536656891495601,0.10334185860321925
9377,Timo Meier,2024-12-02,Over,3.5,0.4385964912280702,0.48105025119791367,0.4419214170363549,0.4913294797687861,0.4585987261146497,0.001480631024001769
9378,Timo Meier,2024-12-02,Under,3.5,0.6172839506172839,0.5189497488020863,0.5580785829636451,0.5086705202312138,0.5414012738853503,-0.038674474031812456
9379,Vincent Trocheck,2024-12-02,Over,2.5,0.5154639175257733,0.5259481196908252,0.483068163753527,0.47058823529411764,0.48059701492537316,-0.016714830403765313
9380,Vincent Trocheck,2024-12-02,Under,2.5,0.5434782608695652,0.4740518803091748,0.516931836246473,0.5294117647058824,0.5194029850746269,-0.014537327769788583
9381,Will Cuylle,2024-12-02,Over,1.5,0.6211180124223602,0.5298704500220428,0.4725317305021345,0.46296296296296297,0.49411764705882355,-0.0980425876604768
9382,Will Cuylle,2024-12-02,Under,1.5,0.4347826086956522,0.4701295499779572,0.5274682694978655,0.5370370370370371,0.5058823529411764,0.0409955807394405
9383,Auston Matthews,2024-12-02,Over,4.5,0.4854368932038835,0.4863257879867916,0.4525446186393546,0.4260355029585799,0.40939597315436244,-0.01598068056672866
9384,Auston Matthews,2024-12-02,Under,4.5,0.5747126436781609,0.5136742120132084,0.5474553813606454,0.5739644970414202,0.5906040268456376,-0.016022850146107076
9385,Connor Bedard,2024-12-02,Over,2.5,0.5319148936170213,0.5685686874688343,0.5363805079973102,0.5760869565217391,0.5350877192982456,0.002385044044017931
9386,Connor Bedard,2024-12-02,Under,2.5,0.5208333333333334,0.4314313125311657,0.4636194920026898,0.42391304347826086,0.4649122807017544,-0.02985069982468358
