id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly
5283,Alex Tuch,2024-11-11,Over,2.5,0.5494505494505494,0.5346872100335005,0.4924597387859819,0.5426829268292683,0.5155709342560554,-0.031622949819973434
5284,Alex Tuch,2024-11-11,Under,2.5,0.5,0.4653127899664995,0.5075402612140181,0.4573170731707317,0.4844290657439446,0.003770130607009037
5285,Brendan Gallagher,2024-11-11,Over,1.5,0.6060606060606061,0.6467806291090302,0.6085941210942244,0.6201550387596899,0.61328125,0.0016078076174885492
5286,Brendan Gallagher,2024-11-11,Under,1.5,0.45248868778280543,0.3532193708909698,0.3914058789057756,0.3798449612403101,0.38671875,-0.027891117276495014
5287,Cole Caufield,2024-11-11,Over,2.5,0.6451612903225806,0.6830319438373879,0.668601834039377,0.6783216783216783,0.6509090909090909,0.016514928527742917
5288,Cole Caufield,2024-11-11,Under,2.5,0.42016806722689076,0.31696805616261214,0.331398165960623,0.32167832167832167,0.3490909090909091,-0.03827397916915169
5289,Dylan Cozens,2024-11-11,Over,2.5,0.5319148936170213,0.5239299666458868,0.48371539167629307,0.44571428571428573,0.4473684210526316,-0.025742915809252587
5290,Dylan Cozens,2024-11-11,Under,2.5,0.5235602094240838,0.47607003335411324,0.5162846083237069,0.5542857142857143,0.5526315789473685,-0.0038176917861867665
5291,Jack Quinn,2024-11-11,Over,1.5,0.5952380952380952,0.5667775270736355,0.5233147775225461,0.47413793103448276,0.4607329842931937,-0.04442322564783921
5292,Jack Quinn,2024-11-11,Under,1.5,0.4504504504504504,0.43322247292636445,0.47668522247745393,0.5258620689655172,0.5392670157068062,0.011934670881136852
5293,Jason Zucker,2024-11-11,Over,1.5,0.6535947712418301,0.6512897061740287,0.6101216457632981,0.6666666666666666,0.6298932384341637,-0.03137447263309148
5294,Jason Zucker,2024-11-11,Under,1.5,0.4081632653061224,0.3487102938259713,0.389878354236702,0.3333333333333333,0.3701067615658363,-0.007723798641393123
5295,JJ Peterka,2024-11-11,Over,3.5,0.425531914893617,0.24855309256571267,0.2143395718402551,0.20930232558139536,0.25666666666666665,-0.09190777892137045
5296,JJ Peterka,2024-11-11,Under,3.5,0.6172839506172839,0.7514469074342873,0.7856604281597449,0.7906976744186046,0.7433333333333333,0.10998786033015596
5297,Juraj Slafkovsky,2024-11-11,Over,1.5,0.5747126436781609,0.5382383412061384,0.4906394088104298,0.42857142857142855,0.44787644787644787,-0.049421428604679796
5298,Juraj Slafkovsky,2024-11-11,Under,1.5,0.4716981132075471,0.46176165879386155,0.5093605911895702,0.5714285714285714,0.5521235521235521,0.017822422616493055
