id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly
9519,Matthew Tkachuk,2024-12-03,Over,2.5,0.617283951,0.726711428,0.739866383,0.670391061,0.624595469,0.080074008
9464,JJ Peterka,2024-12-03,Under,2.5,0.5,0.59966401,0.655735914,0.624309392,0.574132492,0.077867957
9660,Yegor Sharangovich,2024-12-03,Under,2.5,0.465116279,0.550116162,0.598750335,0.651428571,0.607260726,0.062459396
9539,Anton Lundell,2024-12-03,Over,1.5,0.588235294,0.719417329,0.68853997,0.6,0.601286174,0.060899267
9527,Carter Verhaeghe,2024-12-03,Over,2.5,0.617283951,0.730562204,0.705489986,0.648351648,0.641509434,0.057618458
9535,Gustav Forsling,2024-12-03,Over,1.5,0.598802395,0.724205084,0.690991813,0.661290323,0.649230769,0.057446391
9572,Connor McMichael,2024-12-03,Under,2.5,0.5,0.544018369,0.59581955,0.727272727,0.697580645,0.047909775
9577,Tyler Toffoli,2024-12-03,Over,2.5,0.45045045,0.588237754,0.554706709,0.569148936,0.534743202,0.047428052
9699,Jeff Skinner,2024-12-03,Over,2.5,0.431034483,0.573476672,0.538005339,0.570621469,0.566343042,0.047002346
9533,Evan Rodrigues,2024-12-03,Over,1.5,0.64516129,0.728448072,0.71181571,0.649425287,0.630573248,0.046961069
9702,Pavel Dorofeyev,2024-12-03,Under,2.5,0.523560209,0.564270131,0.612323907,0.622222222,0.563451777,0.046576556
9443,David Pastrnak,2024-12-03,Over,3.5,0.666666667,0.739346551,0.728430738,0.689473684,0.664670659,0.046323053
9602,Quinn Hughes,2024-12-03,Under,2.5,0.444444444,0.494624552,0.538070686,0.595628415,0.554517134,0.042131809
9468,Tage Thompson,2024-12-03,Under,3.5,0.523560209,0.556386475,0.603512814,0.541666667,0.547038328,0.041953152
9525,Aleksander Barkov,2024-12-03,Over,2.5,0.487804878,0.612470317,0.571451345,0.518987342,0.498181818,0.040827442
9521,Sam Bennett,2024-12-03,Over,2.5,0.531914894,0.642942076,0.602757544,0.557692308,0.544169611,0.037836416
9674,Martin Pospisil,2024-12-03,Under,1.5,0.408163265,0.442692098,0.496619218,0.477272727,0.492890995,0.037365014
9502,Jared McCann,2024-12-03,Under,2.5,0.515463918,0.535338831,0.58108095,0.489130435,0.484567901,0.033855596
9692,Evan Bouchard,2024-12-03,Under,2.5,0.480769231,0.505473189,0.549820725,0.588235294,0.555214724,0.033247016
9604,Conor Garland,2024-12-03,Under,2.5,0.534759358,0.552519439,0.594727136,0.64516129,0.635802469,0.032224065
9614,Pius Suter,2024-12-03,Under,1.5,0.45045045,0.463667024,0.517310717,0.607142857,0.570934256,0.030415941
9650,Jonathan Huberdeau,2024-12-03,Under,1.5,0.425531915,0.443041933,0.494732802,0.524324324,0.524539877,0.030115201
9592,Brock Faber,2024-12-03,Under,1.5,0.5,0.502178415,0.56010838,0.509259259,0.52016129,0.03005419
9531,Aaron Ekblad,2024-12-03,Over,1.5,0.636942675,0.692480428,0.68047699,0.62585034,0.546511628,0.029977577
9664,Connor Zary,2024-12-03,Under,1.5,0.438596491,0.453627788,0.505551323,0.443181818,0.431279621,0.029815824
9598,Matt Boldy,2024-12-03,Under,3.5,0.568181818,0.57948232,0.615120627,0.6,0.587859425,0.0271751
9466,Alex Tuch,2024-12-03,Under,2.5,0.531914894,0.534233376,0.581044822,0.468208092,0.506535948,0.026239848
9544,Philip Tomasino,2024-12-03,Under,1.5,0.446428571,0.458309659,0.503678415,0.5,0.496969697,0.025854768
9488,Sebastian Aho,2024-12-03,Under,2.5,0.444444444,0.458629825,0.499806405,0.440677966,0.447284345,0.024912882
9456,Morgan Geekie,2024-12-03,Under,1.5,0.416666667,0.416921019,0.474752204,0.542168675,0.486394558,0.024893802
9484,Jack Quinn,2024-12-03,Under,1.5,0.465116279,0.468747341,0.517938108,0.512,0.5,0.024688463
9643,Adam Fantilli,2024-12-03,Over,1.5,0.636942675,0.683128895,0.670925593,0.652777778,0.638418079,0.023400518
