id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly
2963,Anders Lee,2024-10-30,Over,2.5,0.5847953216374269,0.5036581203128592,0.46002401755074107,0.46511627906976744,0.449438202247191,-0.07512638379867351
2964,Anders Lee,2024-10-30,Under,2.5,0.47619047619047616,0.4963418796871409,0.5399759824492589,0.5348837209302325,0.550561797752809,0.030443082532600862
2965,Bo Horvat,2024-10-30,Over,3.5,0.42372881355932207,0.3806155367679869,0.35572155292332674,0.31952662721893493,0.3352165725047081,-0.02950314983473326
2966,Bo Horvat,2024-10-30,Under,3.5,0.6369426751592356,0.6193844632320131,0.6442784470766733,0.6804733727810651,0.664783427495292,0.005051386802796959
2967,Brock Nelson,2024-10-30,Over,2.5,0.6060606060606061,0.6173842442197893,0.587529795942277,0.5491329479768786,0.6103896103896104,-0.011759937190478048
2968,Brock Nelson,2024-10-30,Under,2.5,0.4444444444444444,0.3826157557802107,0.41247020405772294,0.4508670520231214,0.38961038961038963,-0.014388408174024675
2969,Cole Sillinger,2024-10-30,Over,2.5,0.48780487804878053,0.37637473811363475,0.3233235838169366,0.2751677852348993,0.3225152129817444,-0.08028253647030478
2970,Cole Sillinger,2024-10-30,Under,2.5,0.5649717514124294,0.6236252618863652,0.6766764161830634,0.7248322147651006,0.6774847870182555,0.06419391449481242
2971,Kirill Marchenko,2024-10-30,Over,2.5,0.5555555555555556,0.48280771699312897,0.43864172345842567,0.42758620689655175,0.45030425963488846,-0.06576403055463556
2972,Kirill Marchenko,2024-10-30,Under,2.5,0.49019607843137253,0.517192283006871,0.5613582765415743,0.5724137931034483,0.5496957403651116,0.0348968471501951
2973,Kyle Palmieri,2024-10-30,Over,2.5,0.6172839506172839,0.5260960550792451,0.4888027389039622,0.4452054794520548,0.466796875,-0.083927243135315
2974,Kyle Palmieri,2024-10-30,Under,2.5,0.4424778761061947,0.473903944920755,0.5111972610960378,0.5547945205479452,0.533203125,0.03081464485655662
2975,Mathew Barzal,2024-10-30,Over,2.5,0.6211180124223602,0.5789259173348458,0.546438967962917,0.4489795918367347,0.49504950495049505,-0.04927592687692767
2976,Mathew Barzal,2024-10-30,Under,2.5,0.4310344827586207,0.4210740826651542,0.453561032037083,0.5510204081632653,0.504950495049505,0.009898029228415234
2977,Mike Reilly,2024-10-30,Over,1.5,0.6535947712418301,0.6257609682698501,0.5826623519599877,0.5625,0.5883977900552486,-0.05119179316095224
2978,Mike Reilly,2024-10-30,Under,1.5,0.4048582995951417,0.37423903173014994,0.4173376480400123,0.4375,0.4116022099447514,0.005242175282114014
2979,Noah Dobson,2024-10-30,Over,2.5,0.6060606060606061,0.46895467306814664,0.4217270309184784,0.43373493975903615,0.4076923076923077,-0.11698092268635027
2980,Noah Dobson,2024-10-30,Under,2.5,0.4504504504504504,0.5310453269318534,0.5782729690815216,0.5662650602409639,0.5923076923076923,0.05814876872151188
2981,Sean Monahan,2024-10-30,Over,2.5,0.5181347150259068,0.4092678355267063,0.3685204475114663,0.3879310344827586,0.390495867768595,-0.07762245599539519
2982,Sean Monahan,2024-10-30,Under,2.5,0.5235602094240838,0.5907321644732937,0.6314795524885337,0.6120689655172413,0.609504132231405,0.05662800693766466
2983,Yegor Chinakhov,2024-10-30,Over,2.5,0.5076142131979695,0.4022885612017345,0.34885508335664683,0.2857142857142857,0.3480825958702065,-0.08060708396582622
2984,Yegor Chinakhov,2024-10-30,Under,2.5,0.5494505494505494,0.5977114387982655,0.6511449166433532,0.7142857142857143,0.6519174041297935,0.05642797203990939
2985,Zach Werenski,2024-10-30,Over,3.5,0.4424778761061947,0.38441259644383485,0.3450620228964769,0.31868131868131866,0.3071253071253071,-0.04368250560594489
2986,Zach Werenski,2024-10-30,Under,3.5,0.6060606060606061,0.6155874035561651,0.6549379771035231,0.6813186813186813,0.6928746928746928,0.031018331623389628
2987,Dylan Larkin,2024-10-30,Over,3.5,0.4672897196261682,0.42026866316152345,0.39013201389185714,0.36942675159235666,0.39400428265524623,-0.036209975936716154
2988,Dylan Larkin,2024-10-30,Under,3.5,0.5847953216374269,0.5797313368384766,0.6098679861081429,0.6305732484076433,0.6059957173447538,0.015096569100325447
2989,Josh Morrissey,2024-10-30,Over,2.5,0.5025125628140703,0.46061667835683806,0.4164297541639881,0.3869047619047619,0.42452830188679247,-0.04325878515496559
2990,Josh Morrissey,2024-10-30,Under,2.5,0.5555555555555556,0.5393833216431619,0.5835702458360119,0.6130952380952381,0.5754716981132075,0.0157582632827567
2991,Mark Scheifele,2024-10-30,Over,2.5,0.48309178743961356,0.4162870098138489,0.3758859736260569,0.4573170731707317,0.43172690763052207,-0.05184954079300522
2992,Mark Scheifele,2024-10-30,Under,2.5,0.5747126436781609,0.5837129901861511,0.6241140263739431,0.5426829268292683,0.5682730923694779,0.02904000199008816
2993,Nikolaj Ehlers,2024-10-30,Over,3.5,0.42372881355932207,0.3331872997242138,0.31045672092472776,0.3382352941176471,0.33067729083665337,-0.049140099010596044
2994,Nikolaj Ehlers,2024-10-30,Under,3.5,0.6289308176100629,0.6668127002757862,0.6895432790752722,0.6617647058823529,0.6693227091633466,0.04083636174986563
2995,Kyle Connor,2024-10-30,Over,3.5,0.5319148936170213,0.48849257998495144,0.45143950331541616,0.41025641025641024,0.43171806167400884,-0.04298117436563004
2996,Kyle Connor,2024-10-30,Under,3.5,0.5235602094240838,0.5115074200150486,0.5485604966845838,0.5897435897435898,0.5682819383259912,0.01311828260097668
2997,Lucas Raymond,2024-10-30,Over,2.5,0.4,0.36065699294537557,0.3075262775802843,0.2909090909090909,0.3013182674199623,-0.038530717674881546
2998,Lucas Raymond,2024-10-30,Under,2.5,0.6622516556291391,0.6393430070546244,0.6924737224197157,0.7090909090909091,0.6986817325800376,0.022370255320475846
2999,Moritz Seider,2024-10-30,Over,1.5,0.5649717514124294,0.5564150708006999,0.5019570483831562,0.5028901734104047,0.46938775510204084,-0.03621299492266669
3000,Moritz Seider,2024-10-30,Under,1.5,0.5,0.4435849291993002,0.49804295161684375,0.49710982658959535,0.5306122448979592,-0.0009785241915781229
3001,Neal Pionk,2024-10-30,Over,1.5,0.641025641025641,0.6021613226608329,0.5436451863726424,0.5375722543352601,0.5584415584415584,-0.06781853091905263
3002,Neal Pionk,2024-10-30,Under,1.5,0.4166666666666667,0.3978386773391671,0.45635481362735764,0.4624277456647399,0.44155844155844154,0.017009205840296124
3003,Cole Perfetti,2024-10-30,Over,1.5,0.641025641025641,0.6390491331471353,0.593994150290162,0.5572519083969466,0.5894039735099338,-0.03275407390506574
3004,Cole Perfetti,2024-10-30,Under,1.5,0.4098360655737705,0.36095086685286476,0.40600584970983794,0.44274809160305345,0.4105960264900662,-0.0016225219979158628
3005,Nino Niederreiter,2024-10-30,Over,2.5,0.4310344827586207,0.43529512339945,0.385686049815815,0.42073170731707316,0.42549019607843136,-0.019925826596081303
3006,Nino Niederreiter,2024-10-30,Under,2.5,0.625,0.56470487660055,0.614313950184185,0.5792682926829268,0.5745098039215686,-0.007124033210543307
3007,Gabriel Vilardi,2024-10-30,Over,2.5,0.4716981132075471,0.4384737466544172,0.3850478524714469,0.3949579831932773,0.4260869565217391,-0.041004141241190284
3008,Gabriel Vilardi,2024-10-30,Under,2.5,0.5747126436781609,0.5615262533455828,0.6149521475285531,0.6050420168067226,0.5739130434782609,0.023654302939081884
3009,Alex DeBrincat,2024-10-30,Over,2.5,0.5847953216374269,0.5923207339784827,0.5535644628952713,0.5606936416184971,0.5473098330241187,-0.018804495932776805
3010,Alex DeBrincat,2024-10-30,Under,2.5,0.4629629629629629,0.4076792660215173,0.4464355371047287,0.4393063583815029,0.45269016697588127,-0.007693801692626276
3011,Patrick Kane,2024-10-30,Over,2.5,0.4854368932038835,0.5826394433692405,0.5369638872487483,0.5606060606060606,0.5567567567567567,0.02503434144632584
3012,Patrick Kane,2024-10-30,Under,2.5,0.5747126436781609,0.41736055663075955,0.46303611275125167,0.4393939393939394,0.44324324324324327,-0.06564769047730476
3013,Vladimir Tarasenko,2024-10-30,Over,1.5,0.5747126436781609,0.6464728912174356,0.6085277677583162,0.6038961038961039,0.5866935483870968,0.019877809425496662
3014,Vladimir Tarasenko,2024-10-30,Under,1.5,0.4807692307692307,0.3535271087825644,0.3914722322416838,0.3961038961038961,0.41330645161290325,-0.042994851142892976
3015,Nathan MacKinnon,2024-10-30,Over,4.5,0.45454545454545453,0.5546709801293912,0.5313246577684125,0.50920245398773,0.4726930320150659,0.03519046814385576
3016,Nathan MacKinnon,2024-10-30,Under,4.5,0.6060606060606061,0.44532901987060886,0.46867534223158747,0.49079754601226994,0.527306967984934,-0.08718680204533874
3017,Mikko Rantanen,2024-10-30,Over,3.5,0.4608294930875576,0.47683435826041987,0.4384349193374135,0.45348837209302323,0.462406015037594,-0.010383808768763395
3018,Mikko Rantanen,2024-10-30,Under,3.5,0.591715976331361,0.5231656417395801,0.5615650806625865,0.5465116279069767,0.5375939849624061,-0.018461961478343808
3019,Brayden Point,2024-10-30,Over,2.5,0.5076142131979695,0.559245443546172,0.5137775462511979,0.5232558139534884,0.5393258426966292,0.0031293211636236606
