id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly,kelly/4 365, bet ,99/pinn implied,kelly/4 99, bet99/pinn ,W/L:, del$ ,,bankroll,2161.23%,FACTOR:,wagered:, $-   
6982,Matthew Knies,2024-11-20,Under,1.5,40.49%,49.49%,55.24%,52.94%,51.30%,6.20%,,,,,,,,,,,,,
6983,Max Domi,2024-11-20,Over,1.5,61.73%,56.78%,51.49%,56.42%,52.77%,-6.69%,,,,,,,,,,,,,
6984,Max Domi,2024-11-20,Under,1.5,44.25%,43.22%,48.51%,43.58%,47.23%,1.91%,,,,,,,,,,,,,
6985,Mitch Marner,2024-11-20,Over,2.5,50.76%,46.83%,42.11%,43.45%,42.81%,-4.39%,,,,,,,,,,,,,
6986,Mitch Marner,2024-11-20,Under,2.5,55.56%,53.17%,57.89%,56.55%,57.19%,1.31%,,,,,,,,,,,,,
6987,Morgan Rielly,2024-11-20,Over,1.5,65.36%,64.08%,62.35%,60.90%,61.23%,-2.18%,,,,,,,,,,,,,
6988,Morgan Rielly,2024-11-20,Under,1.5,40.49%,35.92%,37.65%,39.10%,38.77%,-1.19%,,,,,,,,,,,,,
6989,Noah Hanifin,2024-11-20,Over,1.5,60.61%,64.14%,61.01%,60.89%,60.98%,0.25%,,,,,,,,,,,,,
6990,Noah Hanifin,2024-11-20,Under,1.5,44.84%,35.86%,38.99%,39.11%,39.02%,-2.65%,,,,,,,,,,,,,
6991,Pavel Dorofeyev,2024-11-20,Over,2.5,54.95%,48.52%,43.98%,34.94%,40.91%,-6.09%,,,,,,,,,,,,,
6992,Pavel Dorofeyev,2024-11-20,Under,2.5,51.28%,51.48%,56.02%,65.06%,59.09%,2.43%,,,,,,,,,,,,,
6993,Shea Theodore,2024-11-20,Over,2.5,40.98%,44.41%,39.54%,40.34%,40.00%,-0.61%,,,,,,,,,,,,,
6994,Shea Theodore,2024-11-20,Under,2.5,64.52%,55.59%,60.46%,59.66%,60.00%,-2.86%,,,,,,,,,,,,,
6995,Tomas Hertl,2024-11-20,Over,2.5,40.98%,43.44%,37.85%,36.42%,36.25%,-1.33%,,,,,,,,,,,,,
6996,Tomas Hertl,2024-11-20,Under,2.5,64.52%,56.56%,62.15%,63.58%,63.75%,-1.66%,,,,,,,,,,,,,
6997,William Karlsson,2024-11-20,Over,2.5,42.37%,47.48%,43.11%,39.51%,46.19%,0.32%,,,,,,,,,,,,,
6998,William Karlsson,2024-11-20,Under,2.5,63.69%,52.52%,56.89%,60.49%,53.81%,-4.69%,,,,,,,,,,,,,
6999,William Nylander,2024-11-20,Over,3.5,56.50%,52.75%,49.00%,49.18%,50.16%,-4.31%,,,,,,,,,,,,,
7000,William Nylander,2024-11-20,Under,3.5,49.75%,47.25%,51.00%,50.82%,49.84%,0.62%,,,,,,,,,,,,,
7001,Evgenii Dadonov,2024-11-20,Over,1.5,57.47%,57.63%,51.13%,42.55%,44.07%,-3.73%,,,,,,,,,,,,,
7002,Evgenii Dadonov,2024-11-20,Under,1.5,48.54%,42.37%,48.87%,57.45%,55.93%,0.16%,,,,,,,,,,,,,
7003,Fabian Zetterlund,2024-11-20,Over,2.5,42.74%,38.56%,33.51%,37.28%,38.87%,-4.03%,,,,,,,,,,,,,
7004,Fabian Zetterlund,2024-11-20,Under,2.5,62.50%,61.44%,66.49%,62.72%,61.13%,2.66%,,,,,,,,,,,,,
7005,Jamie Benn,2024-11-20,Over,1.5,63.69%,69.37%,68.29%,58.01%,55.70%,3.16%,,,,,,,,,,,,,
7006,Jamie Benn,2024-11-20,Under,1.5,42.37%,30.63%,31.71%,41.99%,44.30%,-4.62%,,,,,,,,,,,,,
7007,Jason Robertson,2024-11-20,Over,2.5,54.05%,69.29%,67.52%,57.46%,52.12%,7.32%,,,,,,,,,,,,,
7008,Jason Robertson,2024-11-20,Under,2.5,52.36%,30.71%,32.48%,42.54%,47.88%,-10.43%,,,,,,,,,,,,,
7009,Mason Marchment,2024-11-20,Over,2.5,45.05%,44.31%,39.94%,32.73%,33.68%,-2.32%,,,,,,,,,,,,,
7010,Mason Marchment,2024-11-20,Under,2.5,60.61%,55.69%,60.06%,67.27%,66.32%,-0.35%,,,,,,,,,,,,,
7011,Matt Duchene,2024-11-20,Over,2.5,43.48%,49.59%,45.25%,39.88%,39.38%,0.79%,,,,,,,,,,,,,
7012,Matt Duchene,2024-11-20,Under,2.5,60.61%,50.41%,54.75%,60.12%,60.62%,-3.72%,,,,,,,,,,,,,
7013,Mikael Granlund,2024-11-20,Over,2.5,41.84%,38.20%,32.20%,31.55%,37.98%,-4.14%,,,,,,,,,,,,,
7014,Mikael Granlund,2024-11-20,Under,2.5,63.69%,61.80%,67.80%,68.45%,62.02%,2.82%,,,,,,,,,,,,,
7015,Miro Heiskanen,2024-11-20,Over,2.5,55.25%,56.84%,52.66%,48.50%,43.97%,-1.44%,,,,,,,,,,,,,
7016,Miro Heiskanen,2024-11-20,Under,2.5,51.28%,43.16%,47.34%,51.50%,56.03%,-2.02%,,,,,,,,,,,,,
7017,Roope Hintz,2024-11-20,Over,2.5,45.45%,55.92%,51.16%,42.35%,40.82%,2.61%,,,,,,,,,,,,,
7018,Roope Hintz,2024-11-20,Under,2.5,60.61%,44.08%,48.84%,57.65%,59.18%,-7.47%,,,,,,,,,,,,,
7019,Thomas Harley,2024-11-20,Over,1.5,66.23%,67.98%,65.05%,51.96%,51.11%,-0.87%,,,,,,,,,,,,,
7020,Thomas Harley,2024-11-20,Under,1.5,39.84%,32.02%,34.95%,48.04%,48.89%,-2.03%,,,,,,,,,,,,,
7021,Tyler Seguin,2024-11-20,Over,2.5,55.56%,56.88%,52.49%,40.13%,41.00%,-1.72%,,,,,,,,,,,,,
7022,Tyler Seguin,2024-11-20,Under,2.5,50.51%,43.12%,47.51%,59.87%,59.00%,-1.52%,,,,,,,,,,,,,
7023,Tyler Toffoli,2024-11-20,Over,2.5,46.95%,56.48%,53.07%,57.46%,54.52%,2.88%,,,,,,,,,,,,,
7024,Tyler Toffoli,2024-11-20,Under,2.5,58.82%,43.52%,46.93%,42.54%,45.48%,-7.22%,,,,,,,,,,,,,
7025,William Eklund,2024-11-20,Over,1.5,57.47%,50.04%,44.26%,49.53%,47.66%,-7.76%,,,,,,,,,,,,,
7026,William Eklund,2024-11-20,Under,1.5,48.78%,49.96%,55.74%,50.47%,52.34%,3.40%,,,,,,,,,,,,,
7027,Wyatt Johnston,2024-11-20,Over,2.5,60.61%,58.11%,54.19%,40.33%,43.65%,-4.07%,,,,,,,,,,,,,
7028,Wyatt Johnston,2024-11-20,Under,2.5,44.84%,41.89%,45.81%,59.67%,56.35%,0.44%,,,,,,,,,,,,,
7029,Jake Walman,2024-11-20,Over,1.5,64.94%,61.45%,56.63%,60.28%,61.07%,-5.92%,,,,,,,,,,,,,
7030,Jake Walman,2024-11-20,Under,1.5,41.32%,38.55%,43.37%,39.72%,38.93%,0.87%,,,,,,,,,,,,,
7031,Brady Skjei,2024-11-20,Over,1.5,63.69%,68.18%,65.01%,68.33%,66.23%,0.91%,,,,,,,,,,,,,
7032,Brady Skjei,2024-11-20,Under,1.5,41.84%,31.82%,34.99%,31.67%,33.77%,-2.94%,,,,,,,,,,,,,
7033,Brandon Montour,2024-11-20,Over,2.5,56.50%,59.75%,55.37%,55.49%,55.80%,-0.65%,,,,,,,,,,,,,
