id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly
467,Kirill Marchenko,2024-10-17,Over,2.5,0.47619047619047616,0.47820277348425,0.43454876002462073,0.42142857142857143,0.44142259414225943,-0.026499273923726197
468,Kirill Marchenko,2024-10-17,Under,2.5,0.5747126436781609,0.52179722651575,0.5654512399753793,0.5785714285714286,0.5585774058577406,-0.007258938037315366
469,Yegor Chinakhov,2024-10-17,Over,2.5,0.45454545454545453,0.3969832082027984,0.3408610043326834,0.27906976744186046,0.345679012345679,-0.06947383068558233
470,Yegor Chinakhov,2024-10-17,Under,2.5,0.5649717514124294,0.6030167917972016,0.6591389956673166,0.7209302325581395,0.654320987654321,0.07215412222127722
471,Zach Werenski,2024-10-17,Over,2.5,0.6666666666666666,0.6018011823092086,0.5710703368720585,0.5465116279069767,0.5178571428571429,-0.09559632979460812
472,Zach Werenski,2024-10-17,Under,2.5,0.4,0.3981988176907913,0.42892966312794145,0.45348837209302323,0.48214285714285715,0.01607203507107859
473,Dylan Cozens,2024-10-17,Over,2.5,0.5181347150259068,0.520938011306145,0.4822580001117658,0.44242424242424244,0.4207436399217221,-0.02481794257501509
474,Dylan Cozens,2024-10-17,Under,2.5,0.5405405405405405,0.47906198869385497,0.5177419998882342,0.5575757575757576,0.5792563600782779,-0.01654011772814379
475,Rasmus Dahlin,2024-10-17,Over,2.5,0.5617977528089888,0.572792084346182,0.5335779901746142,0.5121951219512195,0.525096525096525,-0.02146631516631914
476,Rasmus Dahlin,2024-10-17,Under,2.5,0.47619047619047616,0.427207915653818,0.46642200982538584,0.4878048780487805,0.4749034749034749,-0.006216296777784754
477,Alex Tuch,2024-10-17,Over,2.5,0.5524861878453039,0.5354840047106714,0.49374142389227815,0.5454545454545454,0.49586776859504134,-0.04375638796501091
478,Alex Tuch,2024-10-17,Under,2.5,0.47619047619047616,0.46451599528932863,0.5062585761077218,0.45454545454545453,0.5041322314049587,0.019134245401883614
479,Jack Quinn,2024-10-17,Over,1.5,0.6493506493506493,0.5873083319440364,0.5539484419543682,0.4766355140186916,0.4857142857142857,-0.09069098727794626
480,Jack Quinn,2024-10-17,Under,1.5,0.4081632653061224,0.4126916680559636,0.4460515580456318,0.5233644859813084,0.5142857142857142,0.021339383267079997
481,Tage Thompson,2024-10-17,Over,3.5,0.5181347150259068,0.4954447046954563,0.4587495734555773,0.461038961038961,0.4551282051282051,-0.0410800441687225
482,Tage Thompson,2024-10-17,Under,3.5,0.5405405405405405,0.5045552953045437,0.5412504265444227,0.538961038961039,0.5448717948717948,0.0005150153361498008
483,Cole Sillinger,2024-10-17,Over,2.5,0.4672897196261682,0.38003570504903017,0.32445609499688355,0.2708333333333333,0.3284518828451883,-0.08937542593762256
484,Cole Sillinger,2024-10-17,Under,2.5,0.5882352941176471,0.6199642949509698,0.6755439050031165,0.7291666666666666,0.6715481171548117,0.07067839928823712
485,Jason Zucker,2024-10-17,Over,2.5,0.4310344827586207,0.405906405635412,0.36637769868283443,0.40131578947368424,0.3646288209606987,-0.03787973208480409
486,Jason Zucker,2024-10-17,Under,2.5,0.625,0.594093594364588,0.6336223013171656,0.5986842105263158,0.6353711790393013,0.007664267837480532
