id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly
6945,Andrei Svechnikov,2024-11-20,Over,3.5,0.4081632653061224,0.37708438158747837,0.3361775426217144,0.35,0.35802469135802467,-0.030407762168413732
6946,Andrei Svechnikov,2024-11-20,Under,3.5,0.6493506493506493,0.6229156184125216,0.6638224573782856,0.65,0.6419753086419753,0.010317863130814758
6947,Brent Burns,2024-11-20,Over,2.5,0.41493775933609955,0.4830419070028201,0.4364065510096158,0.46408839779005523,0.41042345276872966,0.009173721264747178
6948,Brent Burns,2024-11-20,Under,2.5,0.6451612903225806,0.5169580929971799,0.5635934489903842,0.5359116022099447,0.5895765472312704,-0.05746825184768384
6949,Jack Roslovic,2024-11-20,Over,1.5,0.6535947712418301,0.626149895827718,0.6003008224318569,0.49673202614379086,0.5390625,-0.038462142301537244
6950,Jack Roslovic,2024-11-20,Under,1.5,0.4,0.37385010417228204,0.3996991775681431,0.5032679738562091,0.4609375,-0.0001253426799403684
6951,Jesperi Kotkaniemi,2024-11-20,Over,1.5,0.5952380952380952,0.5779125898891856,0.5284079566136473,0.5168539325842697,0.5448504983388704,-0.04127743856215907
6952,Jesperi Kotkaniemi,2024-11-20,Under,1.5,0.4629629629629629,0.4220874101108144,0.47159204338635274,0.48314606741573035,0.45514950166112955,0.004016985714336632
6953,Joel Farabee,2024-11-20,Over,1.5,0.5208333333333334,0.6304176411675129,0.59572091186744,0.5846994535519126,0.6006389776357828,0.039071780104751305
6954,Joel Farabee,2024-11-20,Under,1.5,0.5434782608695652,0.3695823588324871,0.40427908813255997,0.41530054644808745,0.3993610223642173,-0.07622811840359808
6955,Jordan Martinook,2024-11-20,Over,1.5,0.5952380952380952,0.6208903635058645,0.5659732392914723,0.6077348066298343,0.6123778501628665,-0.01807535220232598
6956,Jordan Martinook,2024-11-20,Under,1.5,0.4629629629629629,0.37910963649413554,0.43402676070852775,0.39226519337016574,0.38762214983713356,-0.013470301049478453
6957,Martin Necas,2024-11-20,Over,2.5,0.6060606060606061,0.5865251055696508,0.549112795182092,0.5340909090909091,0.5353535353535354,-0.036139956903672416
6958,Martin Necas,2024-11-20,Under,2.5,0.45248868778280543,0.41347489443034924,0.450887204817908,0.4659090909090909,0.46464646464646464,-0.0007312556513271312
6959,Owen Tippett,2024-11-20,Over,2.5,0.5952380952380952,0.6606329451830553,0.6531338190198958,0.6206896551724138,0.6266666666666667,0.03575912351228855
6960,Owen Tippett,2024-11-20,Under,2.5,0.4587155963302752,0.33936705481694474,0.34686618098010424,0.3793103448275862,0.37333333333333335,-0.051659263869358624
6961,Sean Couturier,2024-11-20,Over,1.5,0.6451612903225806,0.6958814385112801,0.6917643014435415,0.6847826086956522,0.6698113207547169,0.032833939653404254
6962,Sean Couturier,2024-11-20,Under,1.5,0.4115226337448559,0.3041185614887199,0.30823569855645844,0.31521739130434784,0.330188679245283,-0.04387889029856745
6963,Sebastian Aho,2024-11-20,Over,2.5,0.5649717514124294,0.5579116776467052,0.52019741237298,0.5588235294117647,0.5445205479452054,-0.025730707824618643
6964,Sebastian Aho,2024-11-20,Under,2.5,0.49504950495049505,0.4420883223532947,0.47980258762702,0.4411764705882353,0.4554794520547945,-0.007548718870936166
6965,Shayne Gostisbehere,2024-11-20,Over,1.5,0.625,0.5903579065650321,0.5427310462588788,0.5433526011560693,0.5234899328859061,-0.05484596916074744
6966,Shayne Gostisbehere,2024-11-20,Under,1.5,0.4310344827586207,0.40964209343496794,0.4572689537411212,0.45664739884393063,0.47651006711409394,0.011527267552916873
6967,Travis Konecny,2024-11-20,Over,2.5,0.5952380952380952,0.6448391569535761,0.6027808239289927,0.632258064516129,0.6236559139784946,0.004658744191436637
6968,Travis Konecny,2024-11-20,Under,2.5,0.4629629629629629,0.3551608430464239,0.3972191760710074,0.36774193548387096,0.3763440860215054,-0.030604866311772436
6969,Travis Sanheim,2024-11-20,Over,1.5,0.5780346820809249,0.5906546350634756,0.5400363157883709,0.5082872928176796,0.5548387096774193,-0.022512730714424112
6970,Travis Sanheim,2024-11-20,Under,1.5,0.47619047619047616,0.40934536493652446,0.45996368421162914,0.49171270718232046,0.44516129032258067,-0.007744605262631529
6971,Tyson Foerster,2024-11-20,Over,1.5,0.5291005291005292,0.6313905269600792,0.5927951680763239,0.6116504854368932,0.588495575221239,0.033815412265239375
6972,Tyson Foerster,2024-11-20,Under,1.5,0.53475935828877,0.36860947303992075,0.40720483192367607,0.3883495145631068,0.41150442477876104,-0.0685422311214729
6973,Alex Pietrangelo,2024-11-20,Over,1.5,0.6172839506172839,0.6736572631768518,0.6426617418263403,0.6645161290322581,0.6528301886792452,0.016577428128496496
6974,Alex Pietrangelo,2024-11-20,Under,1.5,0.4385964912280702,0.3263427368231482,0.3573382581736597,0.33548387096774196,0.3471698113207547,-0.036185306907042164
6975,Bobby McMann,2024-11-20,Over,2.5,0.5376344086021505,0.45756580325752183,0.40567131858692607,0.35714285714285715,0.3870967741935484,-0.07135213588032485
6976,Bobby McMann,2024-11-20,Under,2.5,0.5235602094240838,0.5424341967424782,0.5943286814130739,0.6428571428571429,0.6129032258064516,0.03713400590631076
6977,Jack Eichel,2024-11-20,Over,3.5,0.5291005291005292,0.5599653845648656,0.5244431948579621,0.5202702702702703,0.5369649805447471,-0.0024725735164190243
6978,Jack Eichel,2024-11-20,Under,3.5,0.53475935828877,0.4400346154351344,0.4755568051420379,0.4797297297297297,0.46303501945525294,-0.03181286620241064
6979,John Tavares,2024-11-20,Over,3.5,0.48309178743961356,0.49413741080310514,0.4569656483972905,0.4606741573033708,0.4769736842105263,-0.012635772854581478
6980,John Tavares,2024-11-20,Under,3.5,0.5747126436781609,0.5058625891968949,0.5430343516027095,0.5393258426966292,0.5230263157894737,-0.018621698720028862
6981,Matthew Knies,2024-11-20,Over,1.5,0.6535947712418301,0.514979506897495,0.4580522076734451,0.47058823529411764,0.48695652173913045,-0.14112269917907025
6982,Matthew Knies,2024-11-20,Under,1.5,0.4048582995951417,0.48502049310250495,0.5419477923265549,0.5294117647058824,0.5130434782608696,0.05758691276302562
6983,Max Domi,2024-11-20,Over,1.5,0.6172839506172839,0.5783899010349238,0.5258265497895664,0.5642458100558659,0.5276872964169381,-0.059742334411654135
6984,Max Domi,2024-11-20,Under,1.5,0.4424778761061947,0.42161009896507623,0.47417345021043356,0.43575418994413406,0.4723127035830619,0.014212697911821379
6985,Mitch Marner,2024-11-20,Over,2.5,0.5076142131979695,0.47977970179904705,0.4339538414536881,0.43452380952380953,0.4280701754385965,-0.03739972482892642
